CampusKey,Department,Office,OfficePhone,StreetAddress,City,State,PostalCode,Country
beenleigh,Beenleigh,Beenleigh,(07) 3386 3308,24 Tansey St,Beenleigh,QLD,4207,Australia
bundoora,Bundoora,Bundoora,(03) 9109 7811,"Terrace 14, Ernest Jones Drive, La Trobe University Bundoora Campus",Macleod,VIC,3085,Australia
cairns,Cairns,Cairns,(07) 4243 3399,23 Aplin Street,Cairns City,QLD,4870,Australia
coolangatta,Coolangatta,Coolangatta,(07) 5551 4080,Level 1 / 72–80 Marine Parade,Coolangatta,QLD,4225,Australia
launceston,Launceston,Launceston,(03) 6351 6730,"University of Tasmania, Newnham Campus, Sir Raymond Ferral Centre, Building X, Newnham Drive",Newnham,TAS,7248,Australia
mitchelton,Mitchelton,Mitchelton,(07) 2115 7009,"Building 3, Level 2, 53 Prospect Road",Gaythorne,QLD,4051,Australia
olympicpark,Olympic Park,Olympic Park,(02) 7238 0988,"Level 3, 10 Parkview Drive, Quad 4",Sydney Olympic Park,NSW,,Australia
southport,Southport,Southport,(07) 5689 3553,105 Scarborough Street,Southport,QLD,4215,Australia
springfield,Springfield,Springfield,(07) 3870 4690,37 Sinnathamby Blvd,Springfield Central,QLD,4300,Australia
varsity,Varsity,Varsity,(07) 5513 1434,15 Lake Street,Varsity Lakes,QLD,4227,Australia
corporate,Corporate,Corporate,(07) 5513 1434,15 Lake Street,Varsity Lakes,QLD,4227,Australia
